,Latitude,Longitude,ChcTemp,geometry,Location,X,Y
46,34.784023,-107.455619,15.586032999999999,POINT (-11961904.78995601 3872139.728101516),"(-107.455619, 34.784023)",-11961904.789956013,3872139.7281015157
47,34.87311,-107.31085300000001,29.528717999999998,POINT (-11945789.51255183 3882056.847577816),"(-107.31085300000001, 34.87311)",-11945789.512551835,3882056.847577816
48,34.603892,-107.434526,25.3046,POINT (-11959556.72793671 3852087.636905433),"(-107.434526, 34.603892)",-11959556.727936711,3852087.6369054327
49,34.593604,-107.429877,20.69004,POINT (-11959039.20362401 3850942.381984152),"(-107.429877, 34.593604)",-11959039.203624012,3850942.381984152
50,34.541401,-107.443518,25.3046,POINT (-11960557.71279792 3845131.17060627),"(-107.443518, 34.541401)",-11960557.712797923,3845131.1706062704
51,34.532637,-107.484824,18.206909,POINT (-11965155.87568463 3844155.566588959),"(-107.484824, 34.532637)",-11965155.87568463,3844155.5665889587
52,34.564569,-107.532454,29.528717999999998,POINT (-11970458.02303111 3847710.220568969),"(-107.532454, 34.564569)",-11970458.023031114,3847710.220568969
53,34.783738,-107.321418,25.3046,POINT (-11946965.60297206 3872108.00204664),"(-107.321418, 34.783738)",-11946965.602972064,3872108.0020466405
54,34.625789000000005,-107.167152,20.69004,POINT (-11929792.79040535 3854525.199795334),"(-107.167152, 34.625789000000005)",-11929792.79040535,3854525.1997953337
55,34.593148,-107.192425,33.433254,POINT (-11932606.16789617 3850891.62029635),"(-107.192425, 34.593148)",-11932606.167896168,3850891.6202963497
56,34.576278,-107.216598,27.460517,POINT (-11935297.09394711 3849013.660486668),"(-107.216598, 34.576278)",-11935297.093947114,3849013.660486668
57,34.51925,-107.149476,12.807755,POINT (-11927825.10708609 3842665.332565709),"(-107.149476, 34.51925)",-11927825.107086089,3842665.332565709
58,34.613273,-107.13496299999998,20.69004,POINT (-11926209.5273162 3853131.925048565),"(-107.13496299999998, 34.613273)",-11926209.527316203,3853131.9250485646
59,34.857903,-107.08617199999999,56.323427,POINT (-11920778.13804091 3880364.012081323),"(-107.08617199999999, 34.857903)",-11920778.13804091,3880364.0120813227
60,35.889167,-106.570278,297.42215,POINT (-11863349.08065761 3995163.795434758),"(-106.570278, 35.889167)",-11863349.080657605,3995163.7954347576
