OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id
409,9b68b2a9-5e62-3416-b6f2-80fd065afff3,NM-00462,32.235225300000003,-108.829928199999998,ANIMAS,24S/19W-7A,,NM,BASIN AND RANGE,,,,,146.340000000000003,61.000000000000000,,,20.980000000000000,20.980000000000000,a,60.899999999999999,146.340000000000003,16.199999999999999,,,,,,16.199999999999999,SMU 1511a
410,63bf6514-54e5-365f-b3da-f1c4c1ff3ee5,NM-00464,32.202026400000001,-108.798127100000002,ANIMAS,24S/19W-21A,,NM,BASIN AND RANGE,,1/14/1977 0:00:00,,,152.400000000000006,,,,24.949999999999999,24.949999999999999,a,36.590000000000003,152.400000000000006,42.399999999999999,,,,,,42.399999999999999,SMU 1511a
411,ca536392-318d-3833-a916-f03cb6a54337,NM-00466,32.185626900000003,-108.789126800000005,ANIMAS,24S/19W-27,,NM,BASIN AND RANGE,,1/14/1977 0:00:00,,1341.000000000000000,152.400000000000006,12.000000000000000,,,25.520000000000000,25.520000000000000,a,6.090000000000000,152.400000000000006,44.000000000000000,,,,,,44.000000000000000,SMU 1511a
412,45ac1ce8-e88e-3bca-a82f-f1bff22c0bed,NM-00497,34.800069499999999,-107.133898599999995,SOCORRO AMS,,,NM,COLORADO PLATEAU,,,,1886.000000000000000,,,,,,,b,50.000000000000000,350.000000000000000,24.800000000000001,,,24.800000000000001,,,24.800000000000001,SMU 100634
413,45ac1ce8-e88e-3bca-a82f-f1bff22c0bed,NM-00497,34.800069499999999,-107.133898599999995,SOCORRO AMS,,,NM,COLORADO PLATEAU,,,,1886.000000000000000,,,,,,,a,350.000000000000000,820.000000000000000,35.899999999999999,,,35.899999999999999,,,35.899999999999999,SMU 100634
414,d1fa2d39-93ff-376f-984a-f70b6fe1a85c,NM-00526,32.283434100000001,-106.717269900000005,DONA ANA COUNTY,23S/2E-27,,NM,BASIN AND RANGE,,1/4/1979 0:00:00,,1254.000000000000000,300.000000000000000,,,,62.000000000000000,62.430000000000000,c,105.000000000000000,140.000000000000000,132.000000000000000,,,,,,132.000000000000000,SMU 1579
415,d1fa2d39-93ff-376f-984a-f70b6fe1a85c,NM-00526,32.283434100000001,-106.717269900000005,DONA ANA COUNTY,23S/2E-27,,NM,BASIN AND RANGE,,1/4/1979 0:00:00,,1254.000000000000000,300.000000000000000,,,,62.000000000000000,62.430000000000000,b,10.000000000000000,50.000000000000000,325.000000000000000,,,,,,325.000000000000000,SMU 1579
416,d1fa2d39-93ff-376f-984a-f70b6fe1a85c,NM-00526,32.283434100000001,-106.717269900000005,DONA ANA COUNTY,23S/2E-27,,NM,BASIN AND RANGE,,1/4/1979 0:00:00,,1254.000000000000000,300.000000000000000,,,,62.000000000000000,62.430000000000000,a,140.000000000000000,300.000000000000000,35.000000000000000,,,,,,35.000000000000000,SMU 1579
417,cdbb5417-178c-383b-bd94-b43716f577ba,NM-00540,35.266763699999998,-106.200575000000001,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2037.000000000000000,,,,,,,a,150.000000000000000,250.000000000000000,18.800000000000001,,,18.800000000000001,,,18.800000000000001,SMU 100634
418,80546b83-d79b-3fe9-b810-116bd2566a4e,NM-00568,32.019943599999998,-106.185553400000003,HUECO TANKS,,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,22.000000000000000,22.000000000000000,a,25.000000000000000,45.000000000000000,400.600000000000023,,,,,,400.600000000000023,SMU 1298
419,3285b653-5f74-3d67-a830-7bb02be36d6c,NM-00573,32.001344400000001,-106.129551699999993,HUECO TANKS,,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,23.000000000000000,23.000000000000000,a,15.000000000000000,45.000000000000000,107.400000000000006,,,,,,107.400000000000006,SMU 1298
420,d4245af0-784a-3a1f-9710-67a7439e2cd5,NM-00575,32.083841800000002,-106.202554199999994,HUECO TANKS,,,NM,BASIN AND RANGE,,,,1264.000000000000000,50.000000000000000,,,,22.000000000000000,22.000000000000000,a,10.000000000000000,45.000000000000000,71.599999999999994,,,,,,71.599999999999994,SMU 1298
421,9dd3c38a-b99e-31a6-bede-d25bd75d1c93,NM-00576,32.025143700000001,-106.126551800000001,HUECO TANKS,,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,24.000000000000000,24.000000000000000,a,10.000000000000000,45.000000000000000,85.700000000000003,,,,,,85.700000000000003,SMU 1298
422,0f750cc7-1553-3f11-a00e-373bb1f92f16,NM-00577,32.113841000000001,-106.189554099999995,HUECO TANKS,,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,25.000000000000000,25.000000000000000,a,20.000000000000000,50.000000000000000,105.599999999999994,,,,,,105.599999999999994,SMU 1298
423,97a9b85c-167b-3d49-b0e1-65d9683044a0,NM-00583,32.002644400000001,-106.105551000000006,HUECO TANKS,,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,34.000000000000000,34.000000000000000,a,20.000000000000000,45.000000000000000,289.399999999999977,,,,,,289.399999999999977,SMU 1298
424,7ac0692c-40d4-3fce-9a7a-751f2a0cb2af,NM-00590,32.266834500000002,-106.717269799999997,DONA ANA COUNTY,23S/2E-24,,NM,BASIN AND RANGE,,,,1218.000000000000000,100.000000000000000,,,,42.180000000000000,42.180000000000000,b,10.000000000000000,60.000000000000000,294.000000000000000,,,,,,294.000000000000000,SMU 1579
425,7ac0692c-40d4-3fce-9a7a-751f2a0cb2af,NM-00590,32.266834500000002,-106.717269799999997,DONA ANA COUNTY,23S/2E-24,,NM,BASIN AND RANGE,,,,1218.000000000000000,100.000000000000000,,,,42.180000000000000,42.180000000000000,a,85.000000000000000,95.000000000000000,95.000000000000000,,,,,,95.000000000000000,SMU 1579
