OID_,Field1,Longitude,Latitude,Kriging_Predicted_Gradient
77,76,-107.107787299999998,33.273706300000001,42.0804520
78,77,-106.997289600000002,34.085086799999999,54.0359955
79,78,-106.886271699999995,31.820346000000001,66.0875931
80,79,-106.283868400000003,33.950093400000000,53.0112038
81,80,-107.178895299999994,34.159584199999998,50.7941513
82,81,-107.627402700000005,33.396200700000001,61.6746292
83,82,-107.080592300000006,34.120085600000003,38.1216888
84,83,-106.719367800000001,31.933343600000001,72.5024185
85,84,-107.064482600000005,32.753219899999998,64.7673340
86,85,-107.250587800000005,32.750119099999999,49.6878052
87,86,-107.000582400000013,33.000113800000001,41.6059418
88,87,-107.000589700000006,34.083386800000000,48.9667854
89,88,-107.817310600000013,33.750090899999996,75.0736542
90,89,-107.128893500000004,34.100085800000002,37.6341515
91,0,-107.299285800000007,32.228032900000002,85.2152634
92,1,-108.500634100000013,34.333373399999999,34.9882889
93,2,-109.033933399999995,32.166826200000003,148.1554108
94,3,-106.900578300000006,32.800119500000001,71.9943848
95,4,-106.667269000000005,32.366832000000002,223.1556702
96,5,-107.076278400000007,32.045038900000002,52.9429169
97,6,-107.176595800000001,34.227582599999998,51.9260292
98,7,-108.710639599999993,34.270073799999999,35.5569229
99,8,-108.692622900000003,32.011932199999997,55.1363144
100,9,-107.782804600000006,33.026809399999998,75.3015137
101,10,-108.488121800000002,32.675115200000000,42.0340233
102,11,-107.392888400000004,32.236432200000003,81.4352264
103,12,-106.711471099999997,32.497528299999999,161.0088501
104,13,-107.579307099999994,34.207581099999999,74.4221878
105,14,-107.417296899999997,33.416801200000002,49.2743454
106,15,-106.933887600000006,34.050088000000002,106.0373230
107,16,-106.666870799999998,32.651924399999999,84.1721344
108,17,-106.850572700000001,32.133437499999999,98.7092361
109,18,-106.710567600000005,31.950943200000001,71.8189163
110,19,-108.860626600000003,31.869835299999998,55.2088165
111,20,-106.499776999999995,34.314783700000000,45.7829132
112,21,-108.911530000000013,32.170726700000003,201.2628632
113,22,-107.531998799999997,33.214205800000002,57.7203255
114,23,-107.603699000000006,32.945012400000003,79.1463089
115,24,-108.797626199999996,32.068230100000001,189.7766113
116,25,-107.533897199999998,32.966812099999999,74.7122650
117,26,-108.818625900000001,31.945733400000002,52.2781410
118,27,-106.957289200000005,34.181784700000001,84.7547073
119,28,-107.250590799999998,33.200107500000001,40.8038063
120,29,-107.375592999999995,33.000112000000001,58.3391418
121,30,-107.546799399999998,33.242204999999998,55.9807281
122,31,-106.857179599999995,33.179609900000003,38.2685928
123,32,-106.717269799999997,32.266834500000002,246.0288696
124,33,-107.375587999999993,32.250131900000000,81.1207733
125,34,-107.357298700000001,33.920988999999999,72.0659561
126,35,-107.628906900000004,33.983386199999998,90.5893555
127,36,-106.917273300000005,31.933442700000001,60.4941940
128,37,-107.060591000000002,34.015088200000001,37.3174248
129,38,-107.288989999999998,32.916314600000000,44.2700233
130,39,-107.000575200000000,31.866844199999999,53.6939774
131,40,-106.767288399999998,34.850070199999998,31.9869308
132,41,-108.040526799999995,35.088058500000002,20.1106110
133,42,-107.308289799999997,32.812817199999998,49.7221222
134,43,-107.581798399999997,32.951812300000000,78.5341034
135,44,-107.300598699999995,34.150083799999997,62.3213310
136,45,-107.000575999999995,32.000140500000001,53.2056770
137,46,-107.005589400000005,34.016788400000003,57.2449188
138,47,-108.932629899999995,32.068729400000002,161.0971375
