Latitude,Longitude,SiGeothermometry,SiGeothermometry_StdErr
32.0296311,-108.8116263,62.3927231,17.3634186
32.0134311,-108.8996286,58.1886292,16.694006
32.0119322,-108.6926229,56.5562096,14.0024414
32.0088316,-108.8336268,67.0383301,18.2528572
32.008432,-108.7606248,58.4055786,16.4300003
31.9715328,-108.7948255,59.6666107,13.3752508
31.9577335,-108.7376238,47.7559319,10.9359045
31.9572336,-108.7166232,52.9065819,12.3857527
31.9563329,-108.8666273,72.2544022,14.4329224
31.9538334,-108.7676246,44.293705,7.2706103
31.9538334,-108.7806249,48.6114349,9.5282116
31.9522334,-108.7916252,53.0991058,9.1990681
31.9484334,-108.8016255,57.0424995,6.5235314
31.9457334,-108.8186259,66.5519409,8.4356146
31.9438333,-108.8536269,73.1046753,16.3708992
31.9423334,-108.8316263,71.3556595,11.7646885
31.9396338,-108.7796248,47.9874687,10.0520735
31.938933,-108.933629,39.6206512,11.9623175
31.929534,-108.7996253,56.2854805,12.1427059
31.926934,-108.8136257,60.6464806,11.3681574
31.921434,-108.8346262,64.5380173,14.6216698
31.9188338,-108.8966279,57.795475,15.6162701
31.9088343,-108.8446264,63.0084763,16.8202019
31.8889353,-108.762624,57.5361862,16.5872974
31.8805353,-108.8146254,60.2913475,17.4502239
31.8760351,-108.8766271,60.2033005,17.5341301
31.8736356,-108.7816244,59.3044662,17.3464355
31.8698353,-108.8606266,60.7125969,17.7195568
31.8637355,-108.8546264,60.6912079,17.8006248
31.8582358,-108.8356258,60.5729599,17.9609241
31.8362366,-108.8006247,60.3352814,17.9883423
31.8361369,-108.7306228,60.4897232,17.948534
32.1619271,-108.8346279,108.574707,19.8102741
32.1619271,-108.8246279,101.3871765,21.0324001
32.1619271,-108.8446279,102.7793884,21.0316944
32.1607267,-108.91153,60.7758942,16.195879
32.1607267,-108.90153,62.1274452,15.6069174
32.1607267,-108.92153,59.6422997,16.3982201
32.1576273,-108.8146273,88.7159653,18.9051056
32.1576273,-108.8046273,71.6733246,14.7270069
32.1576273,-108.8246273,107.3520813,20.1281261
32.1569268,-108.91263,59.7533493,16.0156384
32.1569268,-108.90263,60.8558006,15.2686739
32.1569268,-108.92263,58.747776,16.2818928
32.1568262,-109.0339334,57.8320084,16.4787083
32.1568262,-109.0239334,57.8162422,16.4805794
32.1568262,-109.0439334,57.8500595,16.4775543
32.1559271,-108.8546284,91.1390381,18.2968388
32.1559271,-108.8446284,107.8554077,17.7250195
32.1559271,-108.8646284,78.8087769,16.1495228
32.1556272,-108.8476282,102.2871628,17.816288
32.1556272,-108.8376282,116.4010696,16.0248165
32.1556272,-108.8576282,86.5566483,17.5826797
32.1512274,-108.8346278,121.6157684,9.8283691
32.1612274,-108.8246278,102.3578568,20.9364605
32.1612274,-108.8446278,103.5962067,20.8846226
32.1512274,-108.8246278,111.7001038,16.410059
32.1512274,-108.8446278,107.339447,12.747242
32.1461278,-108.7796263,52.5075912,9.9006834
32.1561278,-108.7696263,54.2257729,13.6142502
32.1561278,-108.7896263,56.960701,10.2566242
32.1461278,-108.7696263,52.9802513,12.8576708
32.1461278,-108.7896263,53.3877411,6.6102495
32.1605276,-108.8516282,94.971138,20.5579739
32.1405276,-108.8516282,72.2543716,7.2568393
32.1505276,-108.8416282,114.4927521,10.9204922
32.1505276,-108.8616282,76.9869308,13.98419
32.1605276,-108.8416282,108.4953384,20.6406765
32.1405276,-108.8416282,92.1852417,8.6700563
32.1605276,-108.8616282,82.7173538,18.6148853
32.1405276,-108.8616282,65.3616714,8.6646433
32.1602277,-108.8266275,106.5385971,20.3219128
32.1402277,-108.8266275,100.7782211,16.4389992
32.1502277,-108.8166275,93.8620834,17.3510113
32.1502277,-108.8366275,120.5575562,9.1431093
32.1602277,-108.8166275,90.8224716,19.7458744
32.1402277,-108.8166275,86.3132401,17.7657223
32.1602277,-108.8366275,111.0334473,19.6690063
32.1402277,-108.8366275,98.249176,11.1845512
32.1563279,-108.8026269,68.2527924,13.2674809
32.1363279,-108.8026269,63.4467697,12.2336369
32.1463279,-108.7926269,55.0044594,5.6854134
32.1463279,-108.8126269,83.3483963,16.6907444
32.1563279,-108.7926269,58.8349075,10.0743828
32.1363279,-108.7926269,55.854866,8.9571524
32.1563279,-108.8126269,84.664032,18.14575
32.1363279,-108.8126269,76.1575089,17.5452671
32.1560278,-108.8366278,116.6117401,16.2940826
32.1360278,-108.8366278,86.1137848,12.5515003
32.1460278,-108.8266278,115.543045,13.5440512
32.1460278,-108.8466278,97.3896713,9.8417454
32.1560278,-108.8266278,111.9952316,18.227047
32.1360278,-108.8266278,90.8213959,17.9067268
32.1560278,-108.8466278,104.265976,18.0637417
32.1360278,-108.8466278,71.1638718,6.9040432
32.1534279,-108.8298276,120.3910217,13.9604321
32.1334279,-108.8298276,86.8123474,17.1754513
32.1434279,-108.8198276,96.6489334,17.7896862
32.1434279,-108.8398276,105.0075912,8.875968
32.1534279,-108.8198276,100.6104202,18.7782078
32.1334279,-108.8198276,82.1405792,19.5972233
32.1534279,-108.8398276,116.2170181,13.8857603
32.1334279,-108.8398276,77.6247635,10.5212984
32.151128,-108.8216273,105.320549,18.2217216
32.131128,-108.8216273,79.7672195,20.5432224
32.141128,-108.8116273,77.7618027,16.5257645
32.141128,-108.8316273,107.6358414,12.9259892
32.151128,-108.8116273,82.006134,16.5695992
32.131128,-108.8116273,71.0056763,17.8745651
32.151128,-108.8316273,124.3352814,9.9032011
32.131128,-108.8316273,81.1074524,16.9173126
32.1495279,-108.8386278,118.9963455,8.8657227
32.1295279,-108.8386278,71.7521667,11.9072466
32.1395279,-108.8286278,101.1021271,15.809721
32.1395279,-108.8486278,74.7705231,7.0616145
32.1495279,-108.8286278,121.9610519,11.1684046
32.1295279,-108.8286278,77.8906021,18.5310879
32.1495279,-108.8486278,97.0675735,12.7251368
32.1295279,-108.8486278,61.364212,5.5979128
32.1492279,-108.8526282,88.6298676,14.2244711
32.1292279,-108.8526282,58.2574196,3.5824735
32.1392279,-108.8426282,85.8741608,8.1809988
32.1392279,-108.8626282,63.3756409,8.1467524
32.1492279,-108.8426282,112.2273865,9.7103691
32.1292279,-108.8426282,67.5093002,8.7247334
32.1492279,-108.8626282,75.1738968,13.0972481
32.1292279,-108.8626282,55.8682327,6.3527369
32.1454281,-108.8306276,122.4461441,10.0641165
32.1254281,-108.8306276,71.5448227,17.211504
32.1354281,-108.8206276,86.247551,19.3398399
32.1354281,-108.8406276,80.1893158,9.726469
32.1454281,-108.8206276,101.3302612,17.5703182
32.1254281,-108.8206276,71.9102249,20.3739433
32.1454281,-108.8406276,110.8173599,8.4471436
32.1254281,-108.8406276,65.7629547,10.2821007
32.1439282,-108.811627,79.4696884,16.3084202
32.1239282,-108.811627,66.7319717,18.3688259
32.1339282,-108.801627,62.0918198,12.8577776
32.1339282,-108.821627,84.4337616,19.895565
32.1439282,-108.801627,62.9671707,10.1801844
32.1239282,-108.801627,61.3854485,15.8825054
32.1439282,-108.821627,101.0003586,17.9266834
32.1239282,-108.821627,70.732399,20.285635
32.1436281,-108.8336276,113.4039536,9.8373861
32.1236281,-108.8336276,68.5667114,15.1351147
32.1336281,-108.8236276,84.7459564,19.6884689
32.1336281,-108.8436276,72.774765,8.0302591
32.1436281,-108.8236276,104.0771713,17.1594181
