Latitude,Longitude,Timestamp,Magnitude
34.38883333,-107.7476667,5/29/1968 2:09,1.4
33.99,-106.85,7/25/1968 4:54,2.3
33.99483333,-106.8346667,7/25/1968 8:26,1.3
36.31616667,-103.0338333,7/27/1968 12:08,2.9
35.11333333,-107.4848333,8/21/1968 23:47,1.7
34.34333333,-105.8423333,8/22/1968 2:22,2.2
34.22,-106.75,1/30/1969 5:17,4
34.74783333,-105.774,3/4/1969 21:09,1.7
31.8925,-106.4065,5/12/1969 8:26,3.6
31.89566667,-106.4293333,5/12/1969 8:49,3.4
35.48316667,-107.3851667,5/28/1969 5:06,2.2
34.199,-105.206,6/1/1969 17:18,1.9
34.15116667,-105.1878333,6/8/1969 11:36,2.6
36.159,-106.0705,7/4/1969 14:43,3.8
34.622,-108.5693333,8/23/1969 21:41,3
33.97,-107.05,8/31/1969 18:57,1.5
33.97,-107.05,9/1/1969 13:44,1.3
36.71266667,-105.6738333,9/13/1969 23:05,2.9
35.262,-109.1566667,9/15/1969 10:47,2.4
30.84416667,-105.5721667,10/19/1969 11:51,3.8
35.21766667,-107.6205,11/4/1969 9:03,1.5
34.325,-106.935,12/6/1969 22:24,1.9
33.362,-110.645,12/25/1969 12:49,3.9
35.93666667,-103.385,1/12/1970 11:21,3.9
37.918,-108.311,2/3/1970 5:59,3.8
34.27166667,-106.87,3/26/1970 12:21,1.3
35.63266667,-106.0385,5/22/1970 9:43,2.3
35.23283333,-106.7821667,7/3/1970 11:41,2.1
35.30966667,-106.1398333,7/31/1970 11:57,3.2
34.56516667,-110.6181667,8/3/1970 19:24,2.7
35.4255,-105.906,8/7/1970 11:59,2.5
35.28683333,-107.5456667,9/8/1970 8:57,1.4
35.117,-106.5698333,11/28/1970 7:40,4.4
36.2815,-105.5185,11/30/1970 5:35,3
35.1565,-106.6005,1/4/1971 7:39,4.4
35.1565,-106.6005,1/4/1971 13:15,2.5
34.15,-106.79,1/6/1971 10:56,3.4
34.06,-106.6,1/27/1971 7:56,2.7
36.30616667,-105.7805,2/18/1971 11:28,2.9
34.62083333,-106.0655,3/25/1971 2:43,1.3
36.15166667,-106.078,4/28/1971 11:36,2.7
35.44266667,-107.6456667,5/22/1971 22:31,2.2
36.14583333,-106.2156667,6/4/1971 3:55,2.7
36.765,-105.8401667,6/24/1971 22:12,1.7
31.77866667,-103.055,7/30/1971 1:45,3.6
31.69833333,-103.0658333,7/31/1971 14:53,3.3
34.08483333,-106.8096667,9/13/1971 20:46,2.1
37.12333333,-104.3445,9/23/1971 21:14,2.5
31.66433333,-103.1773333,9/24/1971 1:01,3
36.9495,-108.2113333,10/15/1971 14:17,2
37.93,-108.0741667,10/25/1971 15:19,1.9
36.14083333,-106.1401667,12/6/1971 5:18,3.3
36.17066667,-106.188,12/6/1971 5:22,3.1
36.13533333,-106.1451667,12/6/1971 5:38,2.5
36.164,-106.1931667,12/6/1971 6:14,3.2
36.15233333,-106.59,12/11/1971 2:28,2.8
34.14833333,-106.8233333,12/12/1971 18:31,2.2
34.42,-107.02,12/23/1971 14:21,2.9
35.751,-106.9441667,12/27/1971 11:08,2.2
36.476,-105.0831667,2/20/1972 23:09,1.3
36.4685,-105.0626667,2/20/1972 23:22,2.1
34.148,-106.813,2/27/1972 9:11,1.7
32.852,-105.9955,2/27/1972 15:50,2.6
36.20016667,-106.0135,3/28/1972 1:53,3.5
36.14,-106.0745,3/28/1972 2:03,2.9
36.13,-105.9743333,3/31/1972 20:14,3.2
36.25566667,-105.7681667,4/20/1972 2:34,1.8
36.29916667,-105.1246667,4/21/1972 1:44,1.7
36.238,-105.8361667,4/25/1972 8:48,1.7
36.477,-105.2966667,4/25/1972 13:25,1.3
35.41383333,-107.3648333,5/6/1972 7:35,2
34.2,-106.88,5/16/1972 22:13,2.2
35.39233333,-107.3321667,5/20/1972 19:15,3
32.56783333,-104.0125,7/26/1972 4:35,3.1
31.813,-108.3115,11/24/1972 1:13,2.9
31.75566667,-106.4043333,12/9/1972 5:58,2.6
31.73583333,-106.4526667,12/10/1972 14:37,2.3
31.61133333,-106.347,12/10/1972 14:58,1.5
35.36633333,-107.1623333,12/18/1972 4:07,3
32.359,-108.689,1/9/1973 5:08,1.6
31.68233333,-106.6705,1/11/1973 13:14,1.6
35.85133333,-104.2296667,2/26/1973 10:51,2.2
35.00033333,-105.7615,3/10/1973 23:25,1.8
31.59266667,-102.3591667,3/17/1973 6:32,2.5
36.03266667,-106.3073333,3/17/1973 7:43,3.7
31.63633333,-108.9433333,3/22/1973 2:45,2.7
34.2,-106.9,6/18/1973 13:42,1.3
34.42733333,-106.8095,6/30/1973 4:59,2.2
31.08716667,-105.7388333,7/4/1973 7:54,2.5
30.17666667,-105.7201667,7/16/1973 5:27,3.5
33.17533333,-108.1913333,7/22/1973 15:22,1.5
36.54866667,-108.5316667,7/27/1973 2:46,2.5
31.04033333,-105.5623333,8/2/1973 9:20,3.6
37.3245,-107.7691667,8/3/1973 22:48,2.2
35.10583333,-103.22,8/4/1973 6:15,3
32.32933333,-107.2233333,8/6/1973 12:47,1.7
34.42,-106.85,9/10/1973 20:29,3.1
37.1345,-104.5766667,9/19/1973 13:28,3.1
34.46,-106.95,9/22/1973 23:38,3.6
37.14033333,-104.634,9/23/1973 3:08,3.4
35.867,-106.333,10/13/1973 3:56,1.6
36.8155,-108.3318333,10/16/1973 2:10,1.8
36.98483333,-106.9866667,11/14/1973 7:56,2.6
35.588,-105.8316667,11/25/1973 16:45,1.8
35.6,-105.883,11/25/1973 16:52,1.8
35.23216667,-107.662,12/24/1973 2:20,4
35.8,-106.9,1/4/1974 23:29,1.8
36.188,-106.193,1/17/1974 23:04,2.2
36.183,-106.2,1/17/1974 23:06,1.4
36.15,-106.233,3/4/1974 6:55,1.8
35.26683333,-107.7558333,3/8/1974 6:46,1.5
34.43283333,-106.8918333,3/13/1974 16:15,2.4
36.5,-107.083,3/23/1974 10:44,2.5
36.215,-106.194,4/2/1974 11:06,1.8
35.533,-107.217,4/5/1974 21:02,1.4
35.09,-106.799,4/8/1974 16:13,1.4
