OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
235,234,-107.4241007,33.9350884,62.6323738,81.8676224
236,235,-107.1322936,34.1000858,40.3026085,37.6675568
237,236,-107.7138957,31.9751379,46.1357651,57.007328
238,237,-106.7178699,32.284434,271.25,245.6027222
239,238,-108.8346262,31.921434,58.0487785,52.8602943
240,239,-108.762624,31.8889353,59.6445732,53.9693871
241,240,-108.7816244,31.8736356,58.8155136,55.3757782
242,241,-107.7139084,33.8533889,74.5209122,78.4666901
243,242,-108.7676246,31.9538334,55.2692986,53.1854019
244,243,-108.0123044,32.0431346,51.8499985,48.6239929
245,244,-106.942289,34.2217838,61.1898766,81.7655334
246,245,-107.7389095,33.9083875,76.2972946,78.9202728
247,246,-107.0055898,34.0800869,42.2987785,45.3295975
248,247,-108.8259282,32.2551248,39.6879768,112.2414169
249,248,-107.0593872,33.4747015,52.6494942,50.0302887
250,249,-108.8546284,32.1659271,430.8188171,377.9160156
251,250,-108.648728,32.916308,42.2166672,45.8951836
252,251,-106.9572912,34.466678,35.7182617,38.9179535
253,252,-108.8306276,32.1354281,319.1733704,329.6774597
254,253,-108.8406482,34.9100583,34.6583328,32.872448
255,254,-107.1338986,34.8000695,30.3345261,32.8323021
256,255,-107.4339036,34.3000796,47.0416679,63.0577965
257,256,-109.0424408,33.1789992,55.4227867,52.8178825
258,257,-106.8388852,34.0883875,90.6015701,106.3470535
259,258,-106.5547778,34.2006862,45.7833328,53.0900269
260,259,-107.083881,32.4168288,33.468071,46.3532143
261,260,-106.6765818,34.2787837,42.8416672,54.3451881
262,261,-108.6906389,34.2600742,36.9500008,35.5751419
263,262,-108.8006247,31.8362366,58.1732216,56.0037155
264,263,-108.7981271,32.2020264,96.2389069,203.2878723
265,264,-107.3321926,33.1215091,43.400238,44.8084488
266,265,-106.9005812,33.2501079,32.6947289,38.0795059
267,266,-109.0006339,32.3751207,60.093914,59.4169579
268,267,-107.233886,32.5501245,41.6941261,52.9234924
269,268,-106.9740769,32.2536337,46.1288834,68.7045212
270,269,-106.7352704,32.284134,259.1672058,238.9358215
271,270,-107.2248011,34.7826694,29.5739746,33.4077263
272,271,-107.800612,34.0160845,74.1091309,75.8471222
273,272,-107.3855865,31.9678396,60.1992569,69.471344
274,273,-108.8446264,31.9088343,48.3147316,53.4713783
275,274,-108.7735267,32.2437254,40.0046577,157.3118744
276,275,-106.7867751,32.7928202,79.9666672,69.0712585
277,276,-107.0623817,32.6174235,69.1999969,63.3628578
278,277,-106.7744697,32.0029415,58.40588,64.5161133
279,278,-108.5006159,31.7501405,49.5250015,49.5828438
280,279,-106.7338704,32.3001335,240.5939026,237.618866
281,280,-108.7376238,31.9577335,53.1559715,53.4342575
282,281,-107.2554864,32.5166253,37.3648415,53.6604538
283,282,-107.5673055,34.0400851,97.0248108,98.2067642
284,283,-107.1804905,33.4449016,51.6166649,49.4820824
285,284,-107.6838985,32.5334228,79.9512405,71.535553
286,285,-106.967279,32.616824,102.8333359,73.7191086
287,286,-107.0355905,34.0550873,30.5527916,36.6644707
288,287,-106.985589,34.0350881,84.4661179,70.9490891
289,288,-108.250614,32.500121,46.6666679,45.1832428
290,289,-107.8206125,34.0100846,75.4596481,73.9800873
291,290,-107.2505945,33.7500937,54.3499985,55.3915367
292,291,-107.4339882,32.0221379,63.8833351,71.2229233
293,292,-108.8346279,32.1719271,398.6220703,372.8460999
294,293,-106.8005841,34.1000874,76.5416641,104.0628586
295,294,-107.1496943,34.1264851,44.6505051,44.1967621
296,295,-106.9572877,33.9733897,74.7644501,75.8181534
297,296,-106.9772895,34.1450855,57.507637,77.9005203
298,297,-108.9101305,32.2414248,37.334362,140.2913971
299,298,-106.3505698,33.8833947,48.9916649,53.9734116
300,299,-107.5431052,34.0867841,98.5021896,95.0778809
301,300,-106.9838939,34.7500714,30.914238,32.2462845
302,301,-107.2407832,32.086137,89.6508865,74.8581314
303,302,-106.8948751,32.3230322,36.7416649,128.700943
304,303,-108.8847295,32.2082258,84.9425735,196.4618225
305,304,-107.594503,33.5766963,65.1620483,65.2837067
306,305,-108.8256274,32.1333282,321.0279236,312.0231323
307,306,-108.154212,32.6012188,57.2467918,49.5533676
308,307,-106.7325682,31.9459432,57.9512253,68.3822861
309,308,-107.8495996,32.0083364,51.7249985,50.6388092
310,309,-106.9855888,34.0067887,74.2323227,71.3155289
311,310,-108.5906385,34.5700674,30.9416676,31.6771393
312,311,-107.0705851,33.1063107,32.0833321,37.3181877
313,312,-106.6838664,31.8668456,89.1583328,88.6600342
314,313,-108.8399352,33.1909999,53.9333344,52.109951
315,314,-108.8016255,31.9484334,50.3694916,51.8247757
316,315,-106.942288,34.0700874,120.7346115,113.2052002
