OID_,Latitude,Longitude
330,31.562505014732650,-108.462510160633599
331,31.562505015833256,-108.437510155390058
332,31.562505016933681,-108.412510150144030
333,31.562505018033921,-108.387510144895430
334,31.562505019133958,-108.362510139644257
335,31.562505020233800,-108.337510134390584
336,31.562505021333457,-108.312510129134310
337,31.562505022432919,-108.287510123875563
338,31.562505023532196,-108.262510118614273
339,31.562505024631275,-108.237510113350368
340,31.562505025730143,-108.212510108083990
341,31.587504993216147,-109.037510282038426
342,31.587504994323396,-109.012510276853519
343,31.587504995430479,-108.987510271665982
344,31.587504996537355,-108.962510266475974
345,31.587504997644050,-108.937510261283307
346,31.587504998750546,-108.912510256088140
347,31.587504999856868,-108.887510250890415
348,31.587505000963002,-108.862510245690061
349,31.587505002068927,-108.837510240487177
350,31.587505003174691,-108.812510235281707
351,31.587505004280246,-108.787510230073721
352,31.587505005385601,-108.762510224863163
353,31.587505006490787,-108.737510219650005
354,31.587505007595777,-108.712510214434332
355,31.587505008700568,-108.687510209216057
356,31.587505009805160,-108.662510203995282
357,31.587505010909595,-108.637510198771935
358,31.587505012013821,-108.612510193545987
359,31.587505013117841,-108.587510188317538
360,31.587505014221680,-108.562510183086474
361,31.587505015325338,-108.537510177852923
362,31.587505016428793,-108.512510172616828
363,31.587505017532060,-108.487510167378105
364,31.587505018635120,-108.462510162136908
365,31.587505019737996,-108.437510156893097
366,31.587505020840688,-108.412510151646799
367,31.587505021943183,-108.387510146397958
368,31.587505023045480,-108.362510141146501
369,31.587505024147575,-108.337510135892572
370,31.587505025249484,-108.312510130636028
371,31.587505026351202,-108.287510125377011
372,31.587505027452725,-108.262510120115465
373,31.587505028554059,-108.237510114851304
374,31.587505029655180,-108.212510109584642
375,31.612504997064335,-109.037510283551612
376,31.612504998173865,-109.012510278366463
377,31.612504999283217,-108.987510273178685
378,31.612505000392371,-108.962510267988392
379,31.612505001501368,-108.937510262795470
380,31.612505002610146,-108.912510257600047
381,31.612505003718731,-108.887510252402052
382,31.612505004827145,-108.862510247201442
383,31.612505005935361,-108.837510241998316
384,31.612505007043371,-108.812510236792576
385,31.612505008151203,-108.787510231584335
386,31.612505009258843,-108.762510226373522
387,31.612505010366274,-108.737510221160093
388,31.612505011473537,-108.712510215944178
389,31.612505012580613,-108.687510210725620
390,31.612505013687478,-108.662510205504589
391,31.612505014794159,-108.637510200280971
392,31.612505015900656,-108.612510195054767
393,31.612505017006953,-108.587510189826048
394,31.612505018113062,-108.562510184594728
395,31.612505019218972,-108.537510179360922
396,31.612505020324686,-108.512510174124557
397,31.612505021430213,-108.487510168885578
398,31.612505022535540,-108.462510163644112
399,31.612505023640676,-108.437510158400045
400,31.612505024745623,-108.412510153153477
401,31.612505025850378,-108.387510147904365
402,31.612505026954921,-108.362510142652653
403,31.612505028059292,-108.337510137398453
404,31.612505029163447,-108.312510132141639
405,31.612505030267410,-108.287510126882367
406,31.612505031371189,-108.262510121620551
407,31.612505032474772,-108.237510116356120
408,31.612505033578159,-108.212510111089202
409,31.637505000910323,-109.037510285068748
410,31.637505002022145,-109.012510279883344
411,31.637505003133786,-108.987510274695296
412,31.637505004245213,-108.962510269504747
413,31.637505005356473,-108.937510264311584
414,31.637505006467528,-108.912510259115891
415,31.637505007578401,-108.887510253917640
416,31.637505008689082,-108.862510248716760
417,31.637505009799572,-108.837510243513378
418,31.637505010909859,-108.812510238307382
419,31.637505012019968,-108.787510233098871
420,31.637505013129875,-108.762510227887802
421,31.637505014239597,-108.737510222674103
422,31.637505015349120,-108.712510217457933
423,31.637505016458451,-108.687510212239118
424,31.637505017567594,-108.662510207017803
425,31.637505018676539,-108.637510201793944
426,31.637505019785287,-108.612510196567470
427,31.637505020893851,-108.587510191338495
428,31.637505022002223,-108.562510186106906
429,31.637505023110393,-108.537510180872829
430,31.637505024218381,-108.512510175636208
431,31.637505025326163,-108.487510170396959
432,31.637505026433747,-108.462510165155223
433,31.637505027541145,-108.437510159910886
434,31.637505028648359,-108.412510154664062
435,31.637505029755360,-108.387510149414680
436,31.637505030862172,-108.362510144162698
437,31.637505031968789,-108.337510138908229
438,31.637505033075197,-108.312510133651159
439,31.637505034181419,-108.287510128391617
440,31.637505035287443,-108.262510123129530
441,31.637505036393286,-108.237510117864829
442,31.637505037498904,-108.212510112597656
443,31.662505004754252,-109.037510286589836
444,31.662505005868354,-109.012510281404161
445,31.662505006982276,-108.987510276215858
446,31.662505008095977,-108.962510271025039
447,31.662505009209507,-108.937510265831605
448,31.662505010322850,-108.912510260635656
449,31.662505011435993,-108.887510255437164
450,31.662505012548930,-108.862510250236014
451,31.662505013661701,-108.837510245032362
452,31.662505014774283,-108.812510239826111
453,31.662505015886651,-108.787510234617315
454,31.662505016998832,-108.762510229405990
455,31.662505018110814,-108.737510224192050
456,31.662505019222621,-108.712510218975581
457,31.662505020334223,-108.687510213756511
458,31.662505021445636,-108.662510208534940
459,31.662505022556829,-108.637510203310811
460,31.662505023667851,-108.612510198084081
461,31.662505024778685,-108.587510192854836
462,31.662505025889310,-108.562510187622991
463,31.662505026999757,-108.537510182388644
464,31.662505028109994,-108.512510177151754
465,31.662505029220039,-108.487510171912248
466,31.662505030329886,-108.462510166670242
467,31.662505031439537,-108.437510161425621
468,31.662505032549003,-108.412510156178541
469,31.662505033658256,-108.387510150928904
470,31.662505034767321,-108.362510145676652
471,31.662505035876190,-108.337510140421912
472,31.662505036984868,-108.312510135164572
473,31.662505038093339,-108.287510129904760
474,31.662505039201619,-108.262510124642390
475,31.662505040309696,-108.237510119377433
476,31.662505041417582,-108.212510114109975
477,31.687505008596023,-109.037510288114859
478,31.687505009712403,-109.012510282928915
479,31.687505010828605,-108.987510277740355
480,31.687505011944580,-108.962510272549281
481,31.687505013060388,-108.937510267355577
482,31.687505014175994,-108.912510262159373
483,31.687505015291407,-108.887510256960596
484,31.687505016406632,-108.862510251759190
485,31.687505017521676,-108.837510246555283
486,31.687505018636507,-108.812510241348761
487,31.687505019751164,-108.787510236139724
488,31.687505020865611,-108.762510230928129
489,31.687505021979860,-108.737510225713905
490,31.687505023093934,-108.712510220497194
491,31.687505024207788,-108.687510215277854
492,31.687505025321478,-108.662510210056013
493,31.687505026434959,-108.637510204831628
494,31.687505027548230,-108.612510199604614
495,31.687505028661320,-108.587510194375099
496,31.687505029774211,-108.562510189142984
497,31.687505030886921,-108.537510183908381
498,31.687505031999429,-108.512510178671221
499,31.687505033111719,-108.487510173431446
500,31.687505034223843,-108.462510168189183
501,31.687505035335736,-108.437510162944292
502,31.687505036447458,-108.412510157696943
503,31.687505037558974,-108.387510152447021
504,31.687505038670309,-108.362510147194499
505,31.687505039781406,-108.337510141939489
506,31.687505040892347,-108.312510136681894
507,31.687505042003092,-108.287510131421811
508,31.687505043113610,-108.262510126159171
509,31.687505044223947,-108.237510120893930
510,31.687505045334071,-108.212510115626216
511,31.712505012435638,-109.037510289643819
512,31.712505013554296,-109.012510284457619
513,31.712505014672775,-108.987510279268790
514,31.712505015791042,-108.962510274077459
515,31.712505016909120,-108.937510268883500
516,31.712505018027009,-108.912510263687025
517,31.712505019144693,-108.887510258487993
518,31.712505020262192,-108.862510253286317
519,31.712505021379510,-108.837510248082140
520,31.712505022496622,-108.812510242875348
521,31.712505023613538,-108.787510237666041
522,31.712505024730255,-108.762510232454190
523,31.712505025846777,-108.737510227239696
524,31.712505026963115,-108.712510222022715
525,31.712505028079239,-108.687510216803119
526,31.712505029195189,-108.662510211581008
