Latitude,Longitude,SiGeothermometry,SiGeothermometry_StdErr
34.0817868,-107.01059,47.3504829,14.0997725
34.0815833,-107.7351106,46.9568672,13.849906
34.0800869,-107.0055898,46.1298866,13.9197712
34.0800868,-107.0188902,47.1911011,14.1542082
34.0800867,-107.0538912,46.7108116,14.4613686
34.0733874,-106.9322877,54.4951439,15.124856
34.0717874,-106.942288,51.8396454,12.2414913
34.0717874,-106.9488882,51.1173325,11.8398991
34.0717865,-107.1322934,45.8566933,14.4195509
34.0700874,-106.942288,51.6076889,12.4239445
34.070087,-107.0238903,47.1534081,13.9117718
34.0667876,-106.9172872,56.1489258,11.7831211
34.0667875,-106.9388879,52.1814346,13.9633236
34.0667875,-106.9505882,51.2251778,12.662488
34.0650844,-107.5856062,54.2649498,11.1171923
34.0633872,-107.0288904,47.0107841,13.6890955
34.0617877,-106.9205873,55.5852394,12.4888124
34.0600873,-107.0188901,46.9459,13.4118357
34.0567878,-106.9372877,53.8525047,12.585556
34.0550873,-107.0355905,47.0609436,13.4011927
34.055087,-107.1072926,45.5013466,14.3311043
34.050088,-106.9338876,52.1816254,9.7390594
34.0500879,-106.9388877,52.2738457,9.6271515
34.0478874,-107.0655913,45.916275,12.6638756
34.045088,-106.9538881,52.9235764,9.7182522
34.0449855,-107.4679028,51.8408623,13.3047523
34.044283,-107.9799173,54.0426559,14.6276054
34.043388,-106.9538881,53.0416374,10.0014524
34.0433878,-107.0072896,47.0838623,12.2195492
34.0433875,-107.0655913,46.237442,12.4768229
34.0400851,-107.5673055,53.31464,13.0218105
34.0397851,-107.5680056,53.3632812,13.0243683
34.0383881,-106.9605883,51.5748596,11.8130322
34.0362864,-107.3329989,50.7204018,14.0126429
34.0350881,-106.985589,47.9877014,12.3620987
34.0350878,-107.0348904,47.170742,12.8190174
34.0333882,-106.9672884,51.0907898,13.0411558
34.0333882,-106.9705885,50.5989265,13.3545942
34.033387,-107.2172955,47.5440483,12.8648958
34.0250885,-106.9405876,58.161068,10.162549
34.0250882,-107.0138897,46.3245773,10.6918354
34.0250859,-107.4856031,52.7722168,13.4499712
34.0217887,-106.9272872,60.5785675,7.7484965
34.0200882,-107.0272901,47.8746834,12.1975899
34.0167888,-106.9338874,61.651577,7.2744398
34.0167884,-107.0055894,47.5703812,10.5426207
34.0167882,-107.0422905,48.6063423,12.9568939
34.0160845,-107.800612,52.0577812,12.7735777
34.0150888,-106.9372875,61.268219,7.7794662
34.0150882,-107.060591,48.9885979,13.43396
34.0137882,-107.061791,49.10252,13.4992571
34.0117884,-107.02729,48.7371788,12.2995882
34.0100846,-107.8206125,54.7686386,13.4203014
34.008987,-107.3381988,51.5507584,14.2705479
34.0083887,-106.9955891,49.4266548,10.9418955
34.0067888,-106.9755885,52.4459114,11.5620966
34.0067887,-106.9855888,50.5689888,11.8123474
34.005089,-106.9438876,60.3864632,8.6616468
34.003389,-106.9422875,60.726799,8.8375978
34.0033889,-106.9722884,53.7654724,11.0162926
34.0017889,-106.9772885,52.8119926,11.4246864
34.0005886,-107.0372902,49.9952126,13.2048931
33.998389,-106.9655881,55.2896919,10.0518579
33.9967891,-106.962288,55.7041855,9.8179779
33.9867858,-107.6923087,51.283989,13.9365978
33.9833862,-107.6289069,53.0389061,14.4956512
33.9767871,-107.4703023,52.8436165,12.4139986
33.9747866,-107.5935058,53.9007683,14.4597721
33.9733897,-106.9572877,56.7120934,10.0544605
33.9631875,-107.4650021,54.6084175,11.2271891
33.960593,-106.3243696,24.2111225,19.5293751
33.9500934,-106.2838684,23.797493,20.0460033
33.9500904,-106.9338869,56.3974991,9.2158642
33.9350884,-107.4241007,53.3708916,14.2346439
33.9333927,-106.521575,28.9534359,26.5275822
33.920989,-107.3572987,54.2494011,14.8612881
33.9192892,-107.330498,53.5488396,14.7821665
33.9133876,-107.6839079,56.8490448,14.7366943
33.9117871,-107.7873109,60.6927719,15.2220869
33.9093875,-107.723909,58.8024254,14.5448713
33.9083875,-107.7389095,59.4329796,14.7697639
33.9080875,-107.7335093,59.2663879,14.514348
33.9018932,-106.5683762,31.5130005,27.3939075
33.8861902,-107.2786963,54.3376198,14.3395338
33.8833947,-106.3505698,28.5094681,15.8213196
33.8800881,-107.7489095,62.303669,14.9564342
33.8622912,-107.1984938,54.0090065,13.6916199
33.8533889,-107.7139084,65.254364,12.1189365
33.8350896,-107.6623068,58.3094063,14.60571
33.7986925,-107.2456947,54.857338,11.7825146
33.7967905,-107.680607,55.9625015,12.8750877
33.7953952,-106.7118795,51.1737747,14.7092571
33.7829924,-107.3503976,57.8798447,10.5930395
33.7740914,-107.615005,58.3415031,14.981554
33.7500937,-107.2505945,55.0541916,11.3733006
33.7500909,-107.8173106,58.6447067,18.3887577
33.7333936,-107.3505972,57.0224228,11.3231115
33.6950948,-107.2980955,55.5107994,11.7681742
33.6847932,-107.6775061,58.810894,12.7836647
33.6184954,-107.5629024,53.1000519,14.5603428
33.6167976,-107.1338903,54.6880951,11.863555
33.5823982,-107.1855915,53.4053345,12.7000961
33.5766963,-107.594503,49.5321884,12.0152521
33.5667965,-107.6006032,48.3324814,12.2698946
